Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes,Date_added
557819-1,Highly Suspect,The Boy Who Died Wolf,300 Entertainment,"LP, Ele",,2017,9713482,,2017-09-06 12:33:56
558232-1,Highly Suspect,The Boy Who Died Wolf,300 Entertainment,"LP, Album, gat",,2016,9741155,,2017-09-06 12:33:25
558232-1,Highly Suspect,The Boy Who Died Wolf,300 Entertainment,"LP, Gat",,2017,9715326,,2017-09-06 12:33:32
auk030lp,The Brian Jonestown Massacre,Revelation,A Records (4),"2xLP, Album, Tra",,2014,5725095,,2017-02-06 03:21:03
395 350-1,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP, Album",,1991,2607766,,2017-05-03 02:23:42
395 350-1,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP, Album",,1991,1050791,,2017-05-03 02:23:46
395 374-1,Soundgarden,Badmotorfinger,A&M Records,"LP, Album, Alt",,1991,4122700,,2017-05-19 11:55:06
395252-1,Soundgarden,Louder Than Love,A&M Records,"LP, Album",,1989,3520113,,2017-05-19 11:53:50
75021 5350 1,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP, Album",,1991,466744,,2017-05-03 02:23:34
75021 5374 1,Soundgarden,Badmotorfinger,A&M Records,"LP, Album, MP, Alt",,1991,9561173,,2017-05-19 11:55:00
AMA 5252,Soundgarden,Louder Than Love,A&M Records,"LP, Album",,1989,1712501,,2017-05-19 11:53:59
B0025093-01,Soundgarden,Louder Than Love,A&M Records,"LP, Album, RM, 180",,2016,8949966,,2017-05-19 11:54:32
B0025510-01,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP + LP, S/Sided, Etch + Album, RE, RM, 180",,2016,9330862,,2017-05-03 02:24:31
B0025510-01,Temple Of The Dog,Temple Of The Dog,A&M Records,"LP + LP, S/Sided, Etch + Album, RE, RM, 180",,2016,9515659,,2017-05-03 02:24:34
SP 5252,Soundgarden,Louder Than Love,A&M Records,"LP, Album",,1989,1567280,,2017-05-19 11:54:09
SP-3106,Joe Cocker,With A Little Help From My Friends,A&M Records,"LP, Album, RE, 180",,0,4941996,,2017-03-27 13:14:55
SP-4224,Joe Cocker,Joe Cocker!,A&M Records,"LP, Album",,1969,4027963,,2017-03-27 13:16:07
395350-1,Temple Of The Dog,Temple Of The Dog,A&M Records (2),"LP, Album",,1991,4391731,,2017-05-03 02:23:39
